gene_id	gene_name	DRX001077	DRX001078	DRX003214	DRX331013	SRX1096724	SRX12476603	SRX477984	SRX477985	SRX477988	SRX707440	UV_Tom
OoffiChr01g03372	OoffiChr01g03372	8.047923	11.379823	11.353654	33.241523	12.069205	9.302738	11.301152	4.767975	12.995423	20.224267	17.85778
OoffiChr01g03373	OoffiChr01g03373	10.647532	22.110692	21.010837	13.274365	7.987402	18.899701	10.676886	26.32963	7.451066	11.029796	10.147148
OoffiChr01g03374	OoffiChr01g03374	28.125705	26.600153	3.999224	6.867821	31.087445	111.357184	4.906722	10.207758	50.260707	8.184591	21.411417
OoffiChr01g03375	OoffiChr01g03375	1.871185	17.059855	8.65543	2.121294	4.027902	0.514027	0.969089	7.48186	2.644604	6.441394	0.34669
OoffiChr01g03376	OoffiChr01g03376	0.578742	2.069054	7.548736	0.707099	13.178196	1.704138	2.110995	2.214398	3.387844	5.707768	0.167403
OoffiChr01g03377	OoffiChr01g03377	32.284945	22.23367	50.689813	29.516392	52.170717	71.008763	59.472733	90.510904	118.335441	32.697888	111.334368
OoffiChr01g03378	OoffiChr01g03378	9.248292	9.678419	4.348351	7.586374	8.693182	15.602875	14.352681	17.120793	9.639162	7.961794	12.762466
OoffiChr01g03379	OoffiChr01g03379	3.444071	8.287691	6.668696	11.480513	5.815421	11.074373	11.951059	12.396251	9.795113	10.177881	10.780163
OoffiChr01g03380	OoffiChr01g03380	4.135233	3.500487	15.644245	16.280748	26.107484	54.585	3.429442	3.145381	18.757398	14.69053	58.620535
OoffiChr01g03381	OoffiChr01g03381	13.580632	22.355852	25.291886	18.805737	22.107175	32.181145	16.656922	26.192083	23.105619	14.784456	37.716034
OoffiChr01g03382	OoffiChr01g03382	17.496428	32.283758	0	0	0	0	0	0	6.957337	0	0
OoffiChr01g03383	OoffiChr01g03383	17.962364	12.179389	1.708454	0	0	0	0.158668	0	3.526558	0	0
OoffiChr01g03384	OoffiChr01g03384	4.889615	14.977733	13.564704	10.227737	8.22945	6.065466	9.514885	10.879661	12.342603	2.752367	8.819345
OoffiChr01g03385	OoffiChr01g03385	10.059681	12.190024	15.722973	12.532497	20.99531	23.943789	1.222099	1.632019	10.909108	10.265843	15.517398
OoffiChr01g03386	OoffiChr01g03386	1.601468	0.442136	1.011796	0.909852	35.261685	25.263821	1.720162	0.024883	40.813729	0	9.881398
OoffiChr01g03387	OoffiChr01g03387	0.739415	1.42744	0.142726	0	0	0	0	0	1.314749	0	0
OoffiChr01g03388	OoffiChr01g03388	19.68852	12.989079	84.289477	4.692109	51.991323	3.93333	0.94547	35.293648	4.49582	0	9.232717
OoffiChr01g03389	OoffiChr01g03389	22.440677	0.753324	12.009063	0	0.02567	1.698399	0.047585	0.070794	2.602807	0	0.424751
OoffiChr01g03390	OoffiChr01g03390	35.829847	19.80571	45.248879	21.574326	19.608246	28.09993	30.16083	67.035345	35.637363	21.320464	40.957458
OoffiChr01g03391	OoffiChr01g03391	0.704278	0.96806	1.171524	0.590014	2.916783	1.558271	0.458282	7.646995	30.072536	0.290206	9.396472
OoffiChr01g03392	OoffiChr01g03392	19.443495	18.067728	31.589841	14.678001	13.396113	24.119794	10.348079	12.060833	21.793883	20.671201	47.39951
OoffiChr01g03393	OoffiChr01g03393	18.131671	41.325112	51.642886	9.459467	18.838078	27.575892	35.737177	190.644373	55.347155	13.591688	23.296068
OoffiChr01g03394	OoffiChr01g03394	0.535115	0.680989	1.2976	8.216231	17.700802	76.225669	1.595219	0.320482	29.079611	1.190527	5.656512
OoffiChr01g03395	OoffiChr01g03395	1.037102	0.845214	4.416841	0	3.427791	2.473831	0.101082	0.07251	30.409445	0	0
OoffiChr01g03396	OoffiChr01g03396	3.711487	16.481691	4.490723	0	2.184687	0	0	0	9.062872	0	0
OoffiChr01g03397	OoffiChr01g03397	3.032614	1.623192	89.111056	6.538984	90.681627	277.484213	31.656541	23.907886	62.594098	17.934141	72.028418
OoffiChr01g03398	OoffiChr01g03398	24.161451	2.618369	0.190458	0	0	1.471916	0	0	7.388911	0	0
OoffiChr01g03399	OoffiChr01g03399	1.353496	4.326505	9.618204	0.747869	4.047855	0.895152	1.744821	2.508457	3.752067	3.540462	0
OoffiChr01g03400	OoffiChr01g03400	68.528661	28.995325	28.251098	1.393118	23.416756	4.437491	3.130603	40.901525	14.660833	2.606035	1.967262
OoffiChr01g03401	OoffiChr01g03401	19.728879	17.003351	12.495694	3.03698	2.278003	2.079032	1.578844	1.546272	3.310233	3.815032	1.73401
